feature,importance
PAY_0,0.03239799736619233
RISK_RATING,0.017195215138131992
PAY_2,0.013559716708789827
PAY_3,0.010484359714091795
BILL_AMT_SUM,0.01019678519513284
PAY_4,0.009414947813195896
LIMIT_BAL,0.00931353967541646
LIMIT_BAL_LOG,0.00753979852159079
PAY_AMT1,0.007105045345259598
PAY_5,0.005757765800476
BILL_AMT1,0.004998519935210943
PAY_6,0.004893146265249726
PAY_AMT2,0.004809963553154195
BILL_AMT2,0.004215414117054217
PAY_AMT3,0.003861947674469035
BILL_AMT3,0.002869710103575096
PAY_AMT4,0.0028082777346583156
BILL_AMT4,0.0027559113467227727
BILL_AMT5,0.002513666732669817
BILL_AMT6,0.0024952276756226464
PAY_AMT6,0.002373965173013992
AGE,0.002369518970264739
CITY_ENC,0.0015389536095488765
PAY_AMT5,0.001348614740804366
EDUCATION,0.0007924254863818314
MARRIAGE,0.0007472691569585188
SEX,0.0005263342713974995
